SettlementPoint,Year,Month,AveragePrice
HB_BUSAVG,2016,10,25.204838709677418
HB_HOUSTON,2016,10,28.249556451612904
HB_HUBAVG,2016,10,25.769059139784947
HB_NORTH,2016,10,24.005255376344085
HB_SOUTH,2016,10,26.689663978494625
HB_WEST,2016,10,24.11393817204301
LZ_AEN,2016,10,25.622903225806454
LZ_CPS,2016,10,26.25029569892473
LZ_HOUSTON,2016,10,28.54581989247312
LZ_LCRA,2016,10,26.068440860215052
LZ_NORTH,2016,10,24.53266129032258
LZ_RAYBN,2016,10,24.452513440860216
LZ_SOUTH,2016,10,30.03103494623656
LZ_WEST,2016,10,25.18225806451613
HB_BUSAVG,2016,11,19.244902777777778
HB_HOUSTON,2016,11,20.365930555555554
HB_HUBAVG,2016,11,19.489305555555557
HB_NORTH,2016,11,18.66488888888889
HB_SOUTH,2016,11,20.148833333333332
HB_WEST,2016,11,18.778416666666665
LZ_AEN,2016,11,19.64004166666667
LZ_CPS,2016,11,21.714666666666666
LZ_HOUSTON,2016,11,20.437680555555556
LZ_LCRA,2016,11,19.541680555555555
LZ_NORTH,2016,11,18.830513888888888
LZ_RAYBN,2016,11,18.875319444444443
LZ_SOUTH,2016,11,20.633388888888888
LZ_WEST,2016,11,19.343138888888888
HB_BUSAVG,2016,12,25.3183064516129
HB_HOUSTON,2016,12,25.72766129032258
HB_HUBAVG,2016,12,25.362594086021502
HB_NORTH,2016,12,25.14904569892473
HB_SOUTH,2016,12,25.708991935483873
HB_WEST,2016,12,24.86266129032258
LZ_AEN,2016,12,25.870174731182797
LZ_CPS,2016,12,26.596424731182797
LZ_HOUSTON,2016,12,25.736841397849464
LZ_LCRA,2016,12,25.487876344086022
LZ_NORTH,2016,12,25.28625
LZ_RAYBN,2016,12,25.319556451612904
LZ_SOUTH,2016,12,26.326841397849464
LZ_WEST,2016,12,25.165819892473117
HB_BUSAVG,2017,1,23.252782258064517
HB_HOUSTON,2017,1,24.781854838709677
HB_HUBAVG,2017,1,23.32555107526882
HB_NORTH,2017,1,22.991854838709678
HB_SOUTH,2017,1,23.62481182795699
HB_WEST,2017,1,21.901720430107527
LZ_AEN,2017,1,23.404475806451615
LZ_CPS,2017,1,23.772567204301076
LZ_HOUSTON,2017,1,24.82736559139785
LZ_LCRA,2017,1,23.43627688172043
LZ_NORTH,2017,1,23.603024193548386
LZ_RAYBN,2017,1,23.39010752688172
LZ_SOUTH,2017,1,25.155483870967743
LZ_WEST,2017,1,23.231370967741935
HB_BUSAVG,2017,2,20.11782738095238
HB_HOUSTON,2017,2,23.265714285714285
HB_HUBAVG,2017,2,20.352127976190477
