Month,DayOfWeek,SettlementPoint,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24
1,1,LZ_SOUTH,0.03605113293551161,0.033001296229257404,0.03190942744035593,0.032484556187451094,0.03374185964133764,0.036660321760691936,0.04742427958069123,0.0512847461453723,0.05339939042191677,0.04949318603809278,0.0448308479207782,0.041263298027629534,0.03845188186797145,0.037174142367233806,0.03622629905137816,0.03609005873903751,0.03754393750072985,0.05144628823000478,0.061330522890318755,0.049295637585198844,0.04555681415653622,0.04307140160140755,0.03739699259241958,0.034871681088676866
1,2,LZ_SOUTH,0.03037112256765435,0.028935582981825754,0.02894946970091478,0.029823465083580684,0.032192886528146634,0.03693693693693693,0.060973111840163845,0.05554774427606797,0.04784321894148483,0.04808363276571368,0.044637122671804745,0.040905934836570665,0.03939575413563852,0.0386736447430089,0.03816591157631619,0.037334444270860453,0.03903035983960839,0.055056501588293484,0.05803780659271987,0.04881094967800169,0.04580707875505562,0.04270426495860021,0.03747070770192157,0.03431234702911003
1,3,LZ_SOUTH,0.026196931729228976,0.02472929540444236,0.02476764707695195,0.02589559715951077,0.029128095271033327,0.03742643841029578,0.06221805528256622,0.058975969252916274,0.0481950401699527,0.045491932109321453,0.04182181402041268,0.03967822946764455,0.03837632715620294,0.03686828460502229,0.03686828460502229,0.0375291661045179,0.03962960502571275,0.06082164349244028,0.06793245448649508,0.054555254144891256,0.04905521339623921,0.04510704568163592,0.03598893554248099,0.03274274040506215
1,4,LZ_SOUTH,0.02466694552518035,0.02344130505784404,0.024127755399063724,0.025557382779149786,0.030058846786346627,0.04475392646157196,0.1387471994774268,0.13954653021699392,0.06624818789715851,0.0389437374298795,0.03510465789217344,0.03133319199408667,0.029508769718257402,0.02800923671076833,0.027077543676692205,0.02681167309378241,0.02787687441625936,0.038929985503177264,0.04332258009064811,0.03673082322471221,0.03469038110026874,0.03202021533225228,0.027672887503509606,0.024819362712796743
1,5,LZ_SOUTH,0.030047005397967994,0.028338148533270643,0.02885569705738951,0.030136945232952066,0.033800021143750685,0.04421331835388012,0.08720929315179161,0.07825633484127198,0.05735084582892181,0.049132396170772086,0.04175890759392007,0.03844454578016496,0.03590808464442997,0.03492111329736792,0.03356964893484412,0.033176753866229494,0.03408798640488389,0.04712610669389057,0.05044835796685481,0.04176443021536646,0.04016760367143874,0.03662839227022345,0.03344894020894444,0.031209122739472704
1,6,LZ_SOUTH,0.032297581711085634,0.029900017039933318,0.030169892740527872,0.030857016537946095,0.033590774487996064,0.040438985525267465,0.06749287316302613,0.06050742158176636,0.049626733352675964,0.04560807232300346,0.0435006470569272,0.040727282775390665,0.038780124990213556,0.03777799269585562,0.03703191993994576,0.03599110239157767,0.03834721857629055,0.05477463536845403,0.05450568074533591,0.045593335083380544,0.04271773120196006,0.04045003845498465,0.035493720554304435,0.033819201702151185
1,7,LZ_SOUTH,0.03754877079598413,0.03477062283625949,0.03352065080255986,0.03384165529370451,0.035519633315597016,0.03844077418501336,0.04883548325280659,0.052928776885342046,0.05979340929142634,0.05557268660331529,0.047512555652937716,0.04342996217010708,0.03892130818084808,0.03614899666641699,0.035318275952969914,0.0345332740609889,0.03497295293976885,0.04681996414477107,0.05351728511910724,0.044985374840835264,0.041873576758496636,0.03970339185018233,0.03637953625551178,0.03511108214504928
2,1,LZ_SOUTH,0.03129553896172165,0.02797780726281146,0.026080059407758937,0.026746799713075423,0.028041686573500466,0.030495716759136402,0.03819051205921612,0.04130196681735973,0.04816899271642775,0.050335566003963175,0.047584763187417896,0.04536096468405692,0.04397824377143449,0.04362291510572691,0.04401816834061512,0.043988890323216,0.043830522865466175,0.050378152211089176,0.07304199931595905,0.052233313859015695,0.0467796177089419,0.043652193123126036,0.03863367477712109,0.034261934451842314
2,2,LZ_SOUTH,0.026622369978947326,0.02446478310963203,0.0239461433561224,0.02520407223195936,0.028072514026589387,0.03446338414713901,0.05690024032583316,0.052502038731925806,0.04626812537888568,0.04622945487094856,0.04461666721639448,0.04361237137790982,0.04273773547780256,0.04343949146007327,0.043069846898909615,0.04409120325560183,0.045693754599231376,0.05102800995879317,0.06972520054639154,0.05025573716793124,0.04701423870849603,0.0435429919371991,0.03578841772792568,0.030711207509357696
2,3,LZ_SOUTH,0.02598130617708931,0.022662076878944348,0.021791929623254925,0.02306965959074393,0.02668770319372729,0.033923790399694016,0.051462994836488814,0.04717441193344808,0.044206588257793084,0.04436555746796711,0.04341054694970358,0.04361374067699369,0.043773905144387074,0.04502175368139224,0.04561818703384969,0.04656004972270033,0.04775291642761522,0.05189328743545611,0.07693512143813348,0.05276104417670683,0.04680866322432588,0.04311651367374259,0.03751912411550966,0.03388912794033276
